住所,会場名,競技_種別,Y,X,FID
(1)東京都新宿区霞ヶ丘町,新国立競技場（オリンピックスタジアム）,開会式/閉会式、陸上競技、サッカー,35.678045,139.714807,1
(2)東京都渋谷区千駄ヶ谷,東京体育館,卓球,35.679595,139.711966,2
(3)東京都渋谷区神南,国立代々木競技場,ハンドボール,35.667471,139.699894,3
(4)東京都千代田区北の丸公園 ,日本武道館,柔道,35.693361,139.750224,4
(5)東京都千代田区丸の内 ,東京国際フォーラム,ウェイトリフティング,35.676875,139.764269,5
(6)東京都江東区有明 ,有明アリーナ ,バレーボール（インドア）,35.643723,139.793841,6
(7)東京都江東区有明 ,有明体操競技場,体操,35.636367,139.790168,7
(8)東京都江東区有明 ,有明テニスの森,テニス,35.634712,139.788577,8
(9)東京都港区台場, お台場海浜公園,水泳（マラソン10km）、トライアスロン,35.627551,139.771886,9
(10)東京都江東区青海 ,海の森水上競技場,カヌー（スプリント）、ボート,35.607153,139.808108,10
(11)東京都江東区夢の島 ,夢の島公園,アーチェリー,35.649371,139.825769,11
(12)東京都江東区辰巳,オリンピックアクアティクスセンター,水泳（競泳、飛込、シンクロナイズドスイミング）,35.643762,139.818227,12
(13)東京都世田谷区上用賀 ,馬事公苑,馬術（馬場馬術、総合馬術、障害馬術）,35.638078,139.633595,13
(14)東京都調布市飛田給 ,武蔵野の森総合スポーツ施設,バドミントン、近代五種（フェンシング）,35.676366,139.522687,14
(15)東京都練馬区大泉学園町, 陸上自衛隊朝霞訓練場,射撃,35.780316,139.594142,15
(16)千葉県千葉市美浜区 ,幕張メッセ,フェンシング、 テコンドー、 レスリング,35.646715,140.036626,16
(17)静岡県伊豆市大野 ,伊豆ベロドローム,自転車競技（トラック・レース）,35.011589,139.015205,17
東京都中央区晴海５丁目,選手村,選手村   ,35.649822,139.774514,18
(18)東京都港区台場,お台場海浜公園（仮）,自転車競技（ロード・レース）,35.627551,139.771886,19
(19)東京都品川区八潮 ,大井ホッケー競技場（仮）,ホッケー,35.593666,139.744731,20
